veh_value,exposure,clm,numclaims,veh_body,veh_age,gender,area,agecat,claimsize
10.599999,.3039014,0,0,HBACK,3,F,C,2,0
10.299999,.64887059,0,0,HBACK,2,F,A,4,0
32.599998,.56947303,0,0,UTE,2,F,E,2,0
41.399998,.31759071,0,0,STNWG,2,F,D,2,0
7.2000003,.64887059,0,0,HBACK,4,F,C,2,0
20.1,.85420942,0,0,HDTOP,3,M,C,4,0
16,.85420942,0,0,PANVN,3,M,A,4,0
14.700001,.55578369,0,0,HBACK,2,M,B,6,0
5.1999998,.36139631,0,0,HBACK,4,F,A,3,0
3.8,.52019173,0,0,HBACK,4,F,B,4,0
13.8,.85420942,0,0,HBACK,2,M,A,2,0
12.200001,.85420942,0,0,HBACK,3,M,C,4,0
10,.49281311,0,0,HBACK,2,F,C,4,0
70.400002,.3148528,0,0,STNWG,1,M,A,5,0
16.6,.48459959,1,1,SEDAN,3,M,B,6,6695
23.5,.39151269,0,0,SEDAN,2,M,C,4,0
15.1,.99383992,1,1,SEDAN,3,F,F,4,8066
7.5999999,.53935659,1,1,HBACK,3,M,C,4,4018
2.7,.45174539,0,0,HBACK,4,F,D,2,0
8.8999996,.59411359,0,0,HBACK,3,F,C,3,0
19.5,.59411359,0,0,HBACK,1,M,A,1,0
3.8999999,.53661883,0,0,SEDAN,4,M,C,5,0
38.599998,.59411359,0,0,STNWG,2,F,B,2,0
13.7,.59137583,0,0,HBACK,1,F,B,1,0
13,.99931562,0,0,HBACK,2,F,A,2,0
14.400001,.0301164,0,0,HBACK,2,F,C,1,0
13.49,.46269679,0,0,HBACK,1,F,C,5,0
13.9,.31759071,0,0,HBACK,3,F,C,2,0
10,.2874743,0,0,STNWG,4,M,C,3,0
15.1,.068446301,0,0,HBACK,2,F,C,2,0
44.5,.59411359,0,0,STNWG,1,F,C,3,0
21.700001,.53661883,0,0,SEDAN,2,F,A,4,0
8.6999998,.85420942,0,0,HBACK,3,M,D,3,0
40.900002,.84873372,0,0,UTE,1,M,A,2,0
13.099999,.40520191,0,0,HBACK,2,M,C,1,0
19,.85420942,0,0,SEDAN,1,F,A,4,0
24.200001,.57768649,0,0,SEDAN,1,F,A,4,0
10.5,.42162901,0,0,HDTOP,4,F,C,6,0
14.2,.59411359,0,0,TRUCK,3,M,D,4,0
30,.85420942,0,0,STNWG,3,M,B,3,0
18.9,.65434629,1,2,STNWG,3,M,F,2,18117
26.099998,.25188231,0,0,STNWG,2,M,B,4,0
9.3000002,.53661883,0,0,COUPE,4,F,A,4,0
14.9,.40520191,0,0,HBACK,2,F,C,2,0
31,.46269679,0,0,HDTOP,1,F,C,3,0
19.400002,.53661883,0,0,SEDAN,1,M,A,6,0
22.34,.85420942,0,0,SEDAN,1,M,C,2,0
16.200001,.85420942,0,0,SEDAN,2,F,B,4,0
21.400002,.53661883,0,0,HDTOP,3,M,D,4,0
17.700001,.24914441,0,0,HBACK,2,F,E,1,0
40.300003,.46269679,0,0,STNWG,1,M,F,2,0
26.5,.0958248,0,0,SEDAN,1,F,C,3,0
11.3,.3039014,0,0,STNWG,4,M,A,1,0
15.299999,.1697467,0,0,SEDAN,3,F,D,3,0
10.5,.9062286,0,0,HBACK,2,F,F,3,0
8.8000002,.53661883,0,0,COUPE,4,M,B,4,0
29,.85420942,0,0,STNWG,3,M,B,5,0
26.700001,.53661883,0,0,HBACK,1,F,A,2,0
8.3000002,.34496921,0,0,SEDAN,4,M,C,5,0
7,.24914441,0,0,SEDAN,4,F,C,1,0
11.5,.9062286,0,0,STNWG,3,F,A,3,0
9.8999996,.31759071,0,0,HBACK,3,F,B,3,0
17.5,.971937,0,0,SEDAN,2,F,B,2,0
26.5,.0958248,0,0,SEDAN,1,F,C,3,0
40.599998,.8514716,1,1,STNWG,2,M,F,3,54344
13.9,.31759071,1,1,HBACK,3,F,A,4,8657
11.900001,.9062286,0,0,HBACK,2,F,B,5,0
11.900001,.9062286,0,0,HBACK,2,F,A,1,0
7.9000001,.35318279,0,0,HBACK,3,F,B,2,0
17.4,.85420942,0,0,HBACK,2,F,C,3,0
7.6999998,.093086898,0,0,COUPE,4,M,C,2,0
25.799999,.0301164,0,0,HBACK,2,M,A,5,0
7.9000001,.0301164,0,0,SEDAN,3,F,E,3,0
