"","veh_value","exposure","numclaims","veh_body","veh_age","gender","area","agecat","claimsize"
"49608",19.9,0.67077339,2,"PANVN",2,"M","A",1,23623
"17768",37.700001,0.3093771,1,"STNWG",2,"F","E",5,44723
"27325",10.1,0.50924033,1,"HBACK",2,"M","E",2,10656
"6406",21.199999,0.52566743,1,"SEDAN",2,"F","C",4,3788
"65350",19.1,0.99931562,1,"STNWG",4,"F","F",3,6695
"831",19.9,0.90349078,1,"STNWG",2,"M","B",3,2000
"40210",57,0.65708423,1,"STNWG",1,"M","F",1,5025
"52852",12.3,0.75564682,1,"MIBUS",4,"F","F",3,13213
"59841",5.2999997,0.57494873,1,"SEDAN",4,"F","A",6,4341
"2936",26.099998,0.60232723,1,"STNWG",4,"F","E",5,3766
"46126",18.4,0.72005469,1,"HBACK",2,"F","D",6,10864
"60129",7.0999999,0.25735801,1,"HBACK",3,"F","A",2,2000
"60788",26.199999,0.36413419,1,"HDTOP",2,"M","A",2,2000
"39626",12.200001,0.99931562,1,"HBACK",3,"M","A",2,10172
"41590",7.0999999,0.38056129,1,"SEDAN",4,"F","C",3,2000
"26053",28.800001,0.2354552,1,"TRUCK",3,"M","F",5,128186
"25441",8.3999996,0.22176591,1,"HBACK",3,"F","D",5,4272
"41326",4.5999999,0.076659799,1,"HBACK",4,"F","C",4,4859
"59119",15.78,0.57768649,1,"HBACK",1,"M","A",4,4609
"47439",17.1,0.70910329,1,"SEDAN",2,"F","D",4,46831
"9773",15.599999,0.62149209,1,"SEDAN",3,"M","B",3,2000
"38388",18.4,0.67351133,1,"MIBUS",4,"F","C",2,2000
"47107",9.8000002,0.038329899,1,"SEDAN",3,"F","A",2,2000
"36887",15.700001,0.47091031,1,"SEDAN",2,"M","B",4,4678
"6152",7.5999999,0.87063652,1,"PANVN",4,"F","D",4,3899
"43617",20.200001,0.9609856,1,"HBACK",1,"F","D",3,8249
"2175",14.8,0.2354552,1,"HBACK",1,"M","D",1,92788
"32119",7.9000001,0.38877481,1,"TRUCK",4,"M","C",2,11802
"23613",18.200001,0.51745379,1,"STNWG",4,"M","D",2,7587
"44291",6.9000001,0.75564682,1,"HBACK",4,"F","C",3,5525
"29364",18.4,0.68172479,1,"HBACK",2,"F","A",2,2000
"28228",33.587997,0.26830941,1,"SEDAN",1,"F","C",4,2000
"62313",5.7999997,0.55852163,3,"SEDAN",4,"M","A",3,13532
"55389",14.8,0.96919918,1,"SEDAN",3,"M","B",4,4466
"37741",17.1,0.72826833,1,"SEDAN",2,"F","C",1,2000
"7554",15.599999,0.41067761,1,"STNWG",4,"F","D",6,4800
"31597",3.6000001,0.8733744,1,"SEDAN",4,"M","B",2,2000
"3796",15.599999,0.2710472,1,"HDTOP",4,"M","D",2,2523
"51983",8.3000002,0.30116361,1,"STNWG",4,"M","C",4,274226
"5913",16.5,0.19438741,1,"SEDAN",3,"F","A",4,15815
"42109",49.799999,0.26283371,1,"STNWG",2,"F","D",2,3900
"16210",18.799999,0.58863789,1,"SEDAN",1,"F","C",1,48828
"65173",17.1,0.24914441,1,"UTE",4,"M","D",3,26250
"42166",9.5,0.73648179,1,"SEDAN",4,"F","E",4,2000
"44458",22.200001,0.34496921,1,"SEDAN",2,"F","A",2,5509
"62237",11.7,0.79397672,1,"HBACK",2,"M","D",2,3537
"10371",27.9,0.84873372,1,"BUS",3,"F","F",2,26207
"23480",16.200001,0.52019173,1,"SEDAN",2,"M","C",3,8810
"50549",11.7,0.30663931,1,"HBACK",2,"F","B",1,2000
"47062",12.799999,0.58042443,1,"HBACK",4,"F","C",4,22751
"38916",13.400001,0.64339489,1,"SEDAN",3,"F","C",3,92886
"27533",50.599998,0.48459959,2,"STNWG",1,"F","D",4,10511
